Fiscal Year,Town Code,Municipality,Total Consideration for Taxable Conveyances,Total Amount Due,Consideration for Unimproved Land,Tax on Unimproved Land,Total Consideration for Residential Dwelling,Consideration for Residential Dwelling Under Threshold,Tax on Consideration Under Threshold Residential Dwelling,Consideration for Residential Dwelling Over Threshold,Tax on Consideration Over Threshold Residential Dwelling,Consideration for Residential Dwelling Between $800k-$2.5M,Tax on Consideration Between $800k-$2.5M Residential Dwelling,Consideration for Residential Dwelling Over $2.5M Threshold,Tax on Consideration Over $2.5M Threshold Residential Dwelling,Residential Property Other Than Dwelling,Tax on Residential Property Other Than Dwelling,Nonresidential Property Other Than Unimproved Land,Tax on Nonresidential Property Other Than Unimproved Land,Delinquent Mortgage Conveyance,Tax on Delinquent Mortgagor,Number of Taxable Conveyances,Number of Non-Taxable and Exempt Conveyances
FY 2011-12,029,COLEBROOK (029),3352882.00,25147.00,368182.00,2761.00,2984700.00,2984700.00,22385.00,0,0,,,,,0.00,0.00,0.00,0.00,0.00,0.00,20,35
FY 2011-12,030,COLUMBIA (030),20379987.00,159725.00,990654.00,7430.00,18014333.00,18014333.00,135107.00,0,0,,,,,0.00,0.00,1375000.00,17188.00,0.00,0.00,84,68
FY 2011-12,031,CORNWALL (031),11073986.00,93825.00,1354500.00,10159.00,9327812.00,7173812.00,53804.00,2154000,26925,,,,,0.00,0.00,0.00,0.00,391674.00,2938.00,25,40
FY 2011-12,032,COVENTRY (032),29105060.00,223168.00,1390790.00,10431.00,26731770.00,26731770.00,200488.00,0,0,,,,,6500.00,49.00,976000.00,12200.00,0.00,0.00,147,187
FY 2011-12,033,CROMWELL (033),64219463.00,504027.00,2748300.00,20612.00,41869982.00,41344982.00,310087.00,525000,6563,,,,,15650000.00,117375.00,3951180.00,49390.00,0.00,0.00,205,172
FY 2011-12,034,DANBURY (034),231552851.00,1915311.00,7310442.00,54828.00,162451350.00,157323150.00,1179924.00,5128200,64103,,,,,30486400.00,228648.00,30604659.00,382558.00,700000.00,5250.00,695,708
FY 2011-12,035,DARIEN (035),473346676.00,4658079.00,16730000.00,125475.00,437616676.00,216020917.00,1620157.00,221595759,2769947,,,,,19000000.00,142500.00,0.00,0.00,0.00,0.00,310,170
FY 2011-12,036,DEEP RIVER (036),15511600.00,132637.00,96800.00,726.00,13749800.00,12129800.00,90974.00,1620000,20250,,,,,25000.00,188.00,1640000.00,20500.00,0.00,0.00,56,50
FY 2011-12,037,DERBY (037),18618526.00,160076.00,534020.00,4005.00,13387700.00,13387700.00,100408.00,0,0,,,,,394100.00,2956.00,4159240.00,51991.00,143466.00,717.00,93,135
FY 2011-12,038,DURHAM (038),18705251.00,143019.00,1601800.00,12014.00,16597451.00,16557451.00,124181.00,40000,500,,,,,0.00,0.00,506000.00,6325.00,0.00,0.00,71,88
FY 2011-12,039,EASTFORD (039),2587616.00,20920.00,378500.00,2839.00,1906616.00,1906616.00,14300.00,0,0,,,,,0.00,0.00,302500.00,3781.00,0.00,0.00,16,32
FY 2011-12,040,EAST GRANBY (040),17466751.00,139476.00,1838900.00,13792.00,13932851.00,13932851.00,104496.00,0,0,,,,,0.00,0.00,1695000.00,21188.00,0.00,0.00,60,75
FY 2011-12,041,EAST HADDAM (041),23940940.00,179557.00,1223300.00,9175.00,22517640.00,22517640.00,168882.00,0,0,,,,,200000.00,1500.00,0.00,0.00,0.00,0.00,101,140
FY 2011-12,042,EAST HAMPTON (042),39872684.00,308718.00,2428725.00,18215.00,35656880.00,35356880.00,265177.00,300000,3750,,,,,152500.00,1144.00,1634579.00,20432.00,0.00,0.00,166,181
FY 2011-12,043,EAST HARTFORD (043),79711328.00,633457.00,4602154.00,34516.00,55043058.00,54843058.00,411323.00,200000,2500,,,,,13035215.00,97764.00,6924400.00,86555.00,106502.00,799.00,485,443
FY 2011-12,044,EAST HAVEN (044),65846914.00,533084.00,1059500.00,7946.00,47090014.00,47090014.00,353175.00,0,0,,,,,9851000.00,73883.00,7846400.00,98080.00,0.00,0.00,260,309
FY 2011-12,045,EAST LYME (045),87300441.00,697795.00,1726166.00,12946.00,79948351.00,75853351.00,568900.00,4095000,51188,,,,,897375.00,6730.00,4513393.00,56417.00,215156.00,1614.00,280,217
FY 2011-12,046,EASTON (046),50816597.00,400269.00,1060000.00,7950.00,49756597.00,45927598.00,344457.00,3828999,47862,,,,,0.00,0.00,0.00,0.00,0.00,0.00,82,93
FY 2011-12,047,EAST WINDSOR (047),42861514.00,371689.00,10402400.00,78018.00,22413514.00,22413514.00,168101.00,0,0,,,,,0.00,0.00,10045600.00,125570.00,0.00,0.00,133,123
FY 2011-12,048,ELLINGTON (048),40965768.00,307352.00,1930600.00,14480.00,38705168.00,38683368.00,290125.00,21800,273,,,,,330000.00,2475.00,0.00,0.00,0.00,0.00,156,152
FY 2011-12,049,ENFIELD (049),129342659.00,1276347.00,4650889.00,34882.00,63050267.00,63050267.00,472877.00,0,0,,,,,259480.00,1946.00,61255425.00,765693.00,126598.00,949.00,398,380
FY 2011-12,050,ESSEX (050),38134099.00,318551.00,522500.00,3919.00,34557599.00,30987599.00,232407.00,3570000,44625,,,,,115000.00,863.00,2939000.00,36738.00,0.00,0.00,95,115
FY 2011-12,051,FAIRFIELD (051),530429092.00,4799572.00,13674250.00,102557.00,432882482.00,352074029.00,2640555.00,80808453,1010106,,,,,410000.00,3075.00,83462360.00,1043280.00,0.00,0.00,709,536
FY 2011-12,052,FARMINGTON (052),146209543.00,1192744.00,8878423.00,66588.00,122657892.00,117309942.00,879825.00,5347950,66849,,,,,636162.00,4771.00,13886611.00,173583.00,150455.00,1128.00,415,355
FY 2011-12,053,FRANKLIN (053),3736300.00,33847.00,825000.00,6188.00,1746300.00,1746300.00,13097.00,0,0,,,,,0.00,0.00,1165000.00,14563.00,0.00,0.00,15,24
FY 2011-12,054,GLASTONBURY (054),206582190.00,1777255.00,6028420.00,45213.00,157093433.00,154059033.00,1155443.00,3034400,37930,,,,,917000.00,6878.00,42543336.00,531792.00,0.00,0.00,493,381
FY 2011-12,055,GOSHEN (055),20377450.00,164168.00,769900.00,5774.00,19572550.00,17305050.00,129788.00,2267500,28344,,,,,35000.00,263.00,0.00,0.00,0.00,0.00,62,68
FY 2011-12,056,GRANBY (056),32751309.00,246185.00,1945755.00,14593.00,30185554.00,30185554.00,226392.00,0,0,,,,,510000.00,3825.00,110000.00,1375.00,0.00,0.00,120,114
FY 2011-12,057,GREENWICH (057),1493764399.00,15755417.00,42661283.00,319960.00,1379879509.00,533295219.00,3999714.00,846584290,10582304,,,,,5791375.00,43435.00,63852580.00,798157.00,1579652.00,11847.00,807,637
FY 2011-12,058,GRISWOLD (058),15868720.00,122605.00,1003649.00,7527.00,13013687.00,13013687.00,97603.00,0,0,,,,,693500.00,5201.00,717884.00,8974.00,440000.00,3300.00,110,164
FY 2011-12,059,GROTON (059),85788648.00,688704.00,4241088.00,31808.00,73015311.00,70747811.00,530609.00,2267500,28344,,,,,1501600.00,11262.00,6790330.00,84879.00,240319.00,1802.00,346,364
FY 2011-12,060,GUILFORD (060),107224294.00,844741.00,3403100.00,25523.00,101424794.00,94124487.00,705934.00,7300307,91254,,,,,1585000.00,11888.00,811400.00,10143.00,0.00,0.00,251,291
FY 2011-12,061,HADDAM (061),22690030.00,175025.00,1245983.00,9345.00,20494047.00,20344047.00,152580.00,150000,1875,,,,,130000.00,975.00,820000.00,10250.00,0.00,0.00,85,82
FY 2011-12,062,HAMDEN (062),124419244.00,1007634.00,1662000.00,12465.00,106125872.00,105400872.00,790507.00,725000,9063,,,,,2458422.00,18438.00,14172950.00,177162.00,0.00,0.00,569,486
FY 2011-12,063,HAMPTON (063),4836850.00,44526.00,180000.00,1350.00,3006850.00,3006850.00,22551.00,0,0,,,,,0.00,0.00,1650000.00,20625.00,0.00,0.00,19,30
FY 2011-12,064,HARTFORD (064),225306376.00,2307732.00,3301360.00,24760.00,63773801.00,63236801.00,474276.00,537000,6713,,,,,29885154.00,224139.00,123049866.00,1538123.00,5296195.00,39721.00,622,669
FY 2011-12,065,HARTLAND (065),3305584.00,24792.00,154584.00,1159.00,3151000.00,3151000.00,23633.00,0,0,,,,,0.00,0.00,0.00,0.00,0.00,0.00,19,32
FY 2011-12,066,HARWINTON (066),13279175.00,100494.00,1020900.00,7657.00,12258275.00,12078275.00,90587.00,180000,2250,,,,,0.00,0.00,0.00,0.00,0.00,0.00,59,102
FY 2011-12,067,HEBRON (067),28195140.00,224914.00,2652641.00,19895.00,22817499.00,22817499.00,171131.00,0,0,,,,,35000.00,263.00,2690000.00,33625.00,0.00,0.00,113,108
FY 2011-12,068,KENT (068),18075024.00,151910.00,1402977.00,10522.00,16441547.00,13402559.00,100519.00,3038988,37987,,,,,0.00,0.00,230500.00,2881.00,0.00,0.00,49,41
FY 2011-12,069,KILLINGLY (069),25373490.00,201526.00,1574600.00,11810.00,20689490.00,20689490.00,155171.00,0,0,,,,,864400.00,6483.00,2245000.00,28063.00,0.00,0.00,180,211
FY 2011-12,070,KILLINGWORTH (070),19363853.00,148404.00,852000.00,6390.00,18301853.00,17876853.00,134076.00,425000,5313,,,,,0.00,0.00,210000.00,2625.00,0.00,0.00,66,60
FY 2011-12,071,LEBANON (071),12245277.00,91840.00,512430.00,3843.00,11702847.00,11702847.00,87771.00,0,0,,,,,30000.00,225.00,0.00,0.00,0.00,0.00,72,107
FY 2011-12,072,LEDYARD (072),35433567.00,270071.00,838242.00,6287.00,31603831.00,31603831.00,237029.00,0,0,,,,,2127699.00,15958.00,863795.00,10797.00,0.00,0.00,162,159
FY 2011-12,073,LISBON (073),7607074.00,57053.00,423500.00,3176.00,7183574.00,7183574.00,53877.00,0,0,,,,,0.00,0.00,0.00,0.00,0.00,0.00,46,38
FY 2011-12,074,LITCHFIELD (074),30554909.00,257872.00,1483396.00,11125.00,24280882.00,21273882.00,159554.00,3007000,37588,,,,,2055630.00,15417.00,2735000.00,34188.00,0.00,0.00,87,97
FY 2011-12,075,LYME (075),22106600.00,183810.00,535000.00,4013.00,21345100.00,17743100.00,133073.00,3602000,45025,,,,,226500.00,1699.00,0.00,0.00,0.00,0.00,47,73
FY 2011-12,076,MADISON (076),103982867.00,829464.00,2999000.00,22493.00,99167367.00,90440459.00,678303.00,8726909,109086,,,,,625000.00,4688.00,1191500.00,14894.00,0.00,0.00,216,228
FY 2011-12,077,MANCHESTER (077),115215740.00,1013329.00,2343721.00,17578.00,73347313.00,73347313.00,549447.00,0,0,,,,,9350000.00,70125.00,29973777.00,374672.00,200929.00,1507.00,499,464
FY 2011-12,078,MANSFIELD (078),43944353.00,336645.00,6061065.00,45458.00,23616570.00,23616570.00,177124.00,0,0,,,,,12854219.00,96407.00,1412500.00,17656.00,0.00,0.00,177,173
FY 2011-12,079,MARLBOROUGH (079),25568013.00,196385.00,672159.00,5041.00,24370854.00,23970854.00,179781.00,400000,5000,,,,,0.00,0.00,525000.00,6563.00,0.00,0.00,82,70
FY 2011-12,080,MERIDEN (080),101936482.00,844539.00,2795308.00,20965.00,66577265.00,66577265.00,499329.00,0,0,,,,,16318000.00,122385.00,16003082.00,200039.00,242828.00,1821.00,536,524
FY 2011-12,081,MIDDLEBURY (081),27865509.00,228620.00,2876393.00,21573.00,22038409.00,20388409.00,152913.00,1650000,20625,,,,,675000.00,5063.00,2275707.00,28446.00,0.00,0.00,88,103
FY 2011-12,082,MIDDLEFIELD (082),10557544.00,81607.00,858750.00,6441.00,9213794.00,9213794.00,69103.00,0,0,,,,,0.00,0.00,485000.00,6063.00,0.00,0.00,48,45
FY 2011-12,083,MIDDLETOWN (083),108485652.00,851548.00,2929732.00,21973.00,77712314.00,77262314.00,579467.00,450000,5625,,,,,20712500.00,155344.00,7131106.00,89139.00,0.00,0.00,439,405
FY 2011-12,084,MILFORD (084),186734050.00,1494788.00,5767925.00,43259.00,167462572.00,161356572.00,1208759.00,6106000,76325,,,,,212000.00,1590.00,13033572.00,162920.00,257982.00,1935.00,603,543
FY 2011-12,085,MONROE (085),64054673.00,488910.00,3384900.00,25387.00,58709773.00,58709773.00,440323.00,0,0,,,,,0.00,0.00,1700000.00,21250.00,260000.00,1950.00,192,177
FY 2011-12,086,MONTVILLE (086),28101479.00,218310.00,1047100.00,7853.00,25377099.00,25377099.00,190328.00,0,0,,,,,167400.00,1256.00,1509880.00,18874.00,0.00,0.00,172,237
FY 2011-12,087,MORRIS (087),7208229.00,55687.00,921000.00,6908.00,6287229.00,5962229.00,44717.00,325000,4063,,,,,0.00,0.00,0.00,0.00,0.00,0.00,29,35
FY 2011-12,088,NAUGATUCK (088),40660098.00,313526.00,956000.00,7170.00,36358490.00,36358490.00,272689.00,0,0,,,,,1311900.00,9839.00,1715000.00,21438.00,318707.00,2390.00,289,359
FY 2011-12,089,NEW BRITAIN (089),75671364.00,663595.00,3545325.00,26590.00,51453668.00,51453668.00,385903.00,0,0,,,,,1262000.00,9465.00,19211871.00,240148.00,198500.00,1489.00,472,565
FY 2011-12,090,NEW CANAAN (090),397001108.00,3908097.00,8794625.00,65960.00,384639608.00,201531181.00,1511484.00,183108427,2288855,,,,,557500.00,4181.00,3009375.00,37617.00,0.00,0.00,306,214
FY 2011-12,091,NEW FAIRFIELD (091),52088493.00,404865.00,1638210.00,12287.00,50445283.00,47610051.00,357075.00,2835232,35440,,,,,0.00,0.00,5000.00,63.00,0.00,0.00,153,154
FY 2011-12,092,NEW HARTFORD (092),19402813.00,150972.00,981985.00,7365.00,17805700.00,17330700.00,129980.00,475000,5938,,,,,0.00,0.00,615128.00,7689.00,0.00,0.00,80,87
FY 2011-12,093,NEW HAVEN (093),172979160.00,1454204.00,1597444.00,11981.00,110043814.00,108193814.00,811454.00,1850000,23125,,,,,28836167.00,216271.00,29522004.00,369025.00,2979732.00,22348.00,732,999
FY 2011-12,094,NEWINGTON (094),68344786.00,548242.00,2318600.00,17390.00,58127219.00,58127219.00,435560.00,0,0,,,,,442900.00,3322.00,7210000.00,90125.00,246068.00,1846.00,320,297
FY 2011-12,095,NEW LONDON (095),33335214.00,273329.00,327500.00,2456.00,28840243.00,27940243.00,209552.00,900000,11250,,,,,277000.00,2078.00,3762971.00,47037.00,127500.00,956.00,214,190
FY 2011-12,096,NEW MILFORD (096),87009569.00,707028.00,4869151.00,36519.00,74666177.00,71144177.00,533581.00,3522000,44025,,,,,105000.00,788.00,7369240.00,92116.00,0.00,0.00,327,333
FY 2011-12,097,NEWTOWN (097),139854468.00,1115244.00,10883061.00,81623.00,116531422.00,114414815.00,858111.00,2116607,26458,,,,,5000.00,38.00,11150516.00,139381.00,1284469.00,9634.00,323,284
FY 2011-12,098,NORFOLK (098),10786858.00,97901.00,891908.00,6689.00,9894950.00,6494950.00,48712.00,3400000,42500,,,,,0.00,0.00,0.00,0.00,0.00,0.00,30,36
FY 2011-12,099,NORTH BRANFORD (099),28193450.00,231986.00,2007500.00,15056.00,22073450.00,22073450.00,165551.00,0,0,,,,,5500.00,41.00,4107000.00,51338.00,0.00,0.00,113,146
FY 2011-12,100,NORTH CANAAN (100),9802084.00,83468.00,392250.00,2942.00,8794399.00,7194399.00,53958.00,1600000,20000,,,,,225000.00,1688.00,390435.00,4880.00,0.00,0.00,48,41
FY 2011-12,101,NORTH HAVEN (101),79264459.00,696160.00,3909500.00,29321.00,55804651.00,54749651.00,410622.00,1055000,13188,,,,,270000.00,2025.00,19280308.00,241004.00,0.00,0.00,237,222
FY 2011-12,102,NORTH STONINGTON (102),15678242.00,122339.00,1051200.00,7884.00,13646700.00,13646700.00,102350.00,0,0,,,,,30000.00,225.00,950342.00,11879.00,0.00,0.00,73,76
FY 2011-12,103,NORWALK (103),400412479.00,3537667.00,16016751.00,120126.00,318655214.00,270188255.00,2026412.00,48466959,605837,,,,,7292765.00,54696.00,58447749.00,730597.00,0.00,0.00,780,606
FY 2011-12,104,NORWICH (104),69142751.00,663523.00,1200400.00,9003.00,31034937.00,31034937.00,232212.00,0,0,,,,,7670200.00,57527.00,29100505.00,363756.00,136708.00,1025.00,284,422
FY 2011-12,105,OLD LYME (105),51761208.00,408287.00,2071832.00,15539.00,48013876.00,45463876.00,340979.00,2550000,31875,,,,,210000.00,1575.00,1465500.00,18319.00,0.00,0.00,144,187
FY 2011-12,106,OLD SAYBROOK (106),83595657.00,676991.00,3137384.00,23530.00,78494463.00,70258549.00,526939.00,8235914,102949,,,,,195000.00,1463.00,1768810.00,22110.00,0.00,0.00,225,221
FY 2011-12,107,ORANGE (107),54071125.00,444424.00,1827925.00,13709.00,44655700.00,44465165.00,333489.00,190535,2382,,,,,0.00,0.00,7587500.00,94844.00,0.00,0.00,134,124
FY 2011-12,108,OXFORD (108),51651453.00,395261.00,6831098.00,51233.00,43745355.00,43245355.00,324340.00,500000,6250,,,,,0.00,0.00,1075000.00,13438.00,0.00,0.00,146,142
FY 2011-12,109,PLAINFIELD (109),34391345.00,330222.00,4754857.00,35661.00,15537206.00,14862206.00,111467.00,675000,8438,,,,,33500.00,251.00,13782415.00,172280.00,283366.00,2125.00,144,220
FY 2011-12,110,PLAINVILLE (110),109997856.00,1217477.00,2102000.00,15765.00,29247156.00,29247156.00,219354.00,0,0,,,,,150000.00,1125.00,78498700.00,981234.00,0.00,0.00,180,194
FY 2011-12,111,PLYMOUTH (111),19905996.00,155835.00,903400.00,6776.00,17694546.00,17694546.00,132709.00,0,0,,,,,0.00,0.00,1308050.00,16351.00,0.00,0.00,129,151
FY 2011-12,112,POMFRET (112),6501702.00,50782.00,340000.00,2550.00,5892905.00,5757905.00,43184.00,135000,1688,,,,,0.00,0.00,268797.00,3360.00,0.00,0.00,32,57
FY 2011-12,113,PORTLAND (113),24253193.00,192536.00,1352160.00,10141.00,20773600.00,20773600.00,155802.00,0,0,,,,,0.00,0.00,2127433.00,26593.00,0.00,0.00,111,122
FY 2011-12,114,PRESTON (114),8808487.00,67089.00,1094611.00,8210.00,7508876.00,7508876.00,56317.00,0,0,,,,,0.00,0.00,205000.00,2563.00,0.00,0.00,59,66
FY 2011-12,115,PROSPECT (115),33683195.00,261002.00,834500.00,6259.00,31173180.00,31173180.00,233799.00,0,0,,,,,0.00,0.00,1675515.00,20944.00,0.00,0.00,134,95
FY 2011-12,116,PUTNAM (116),16423469.00,132426.00,696350.00,5223.00,13787119.00,13787119.00,103403.00,0,0,,,,,90000.00,675.00,1850000.00,23125.00,0.00,0.00,113,89
FY 2011-12,117,REDDING (117),51617177.00,403388.00,1173500.00,8801.00,46440760.00,43188960.00,323917.00,3251800,40648,,,,,476000.00,3570.00,0.00,0.00,3526917.00,26452.00,96,94
FY 2011-12,118,RIDGEFIELD (118),221180223.00,1860401.00,1527000.00,11453.00,200596626.00,168497937.00,1263735.00,32098689,401234,,,,,5290000.00,39675.00,8211120.00,102639.00,5555476.00,41666.00,315,294
FY 2011-12,119,ROCKY HILL (119),73960477.00,642365.00,3146256.00,23597.00,46634639.00,46634639.00,349760.00,0,0,,,,,125000.00,938.00,17532384.00,219155.00,6522198.00,48916.00,234,174
FY 2011-12,120,ROXBURY (120),20184421.00,172783.00,2150000.00,16125.00,15435986.00,11155986.00,83670.00,4280000,53500,,,,,0.00,0.00,0.00,0.00,2598436.00,19488.00,32,41
FY 2011-12,121,SALEM (121),15966133.00,119746.00,636500.00,4774.00,15270833.00,15270833.00,114531.00,0,0,,,,,58800.00,441.00,0.00,0.00,0.00,0.00,69,60
FY 2011-12,122,SALISBURY (122),40343325.00,351069.00,1410000.00,10575.00,35398325.00,26274450.00,197058.00,9123875,114048,,,,,0.00,0.00,575000.00,7188.00,2960000.00,22200.00,74,74
FY 2011-12,123,SCOTLAND (123),1377683.00,10333.00,0.00,0.00,1377683.00,1377683.00,10333.00,0,0,,,,,0.00,0.00,0.00,0.00,0.00,0.00,10,28
FY 2011-12,124,SEYMOUR (124),37001949.00,291826.00,843066.00,6323.00,33060820.00,33060820.00,247956.00,0,0,,,,,235800.00,1769.00,2862263.00,35778.00,0.00,0.00,168,161
FY 2011-12,125,SHARON (125),30274622.00,263661.00,3865895.00,28994.00,22368500.00,19088500.00,143164.00,3280000,41000,,,,,0.00,0.00,4040227.00,50503.00,0.00,0.00,60,73
FY 2011-12,126,SHELTON (126),180895846.00,1611254.00,11743401.00,88076.00,118410383.00,118024883.00,884384.00,385500,4819,,,,,60000.00,450.00,50682062.00,633526.00,0.00,0.00,405,348
FY 2011-12,127,SHERMAN (127),21354716.00,169473.00,1319400.00,9896.00,20035316.00,18172816.00,136296.00,1862500,23281,,,,,0.00,0.00,0.00,0.00,0.00,0.00,49,45
FY 2011-12,128,SIMSBURY (128),100459598.00,794372.00,4493674.00,33703.00,89717924.00,87780924.00,658357.00,1937000,24213,,,,,0.00,0.00,6248000.00,78100.00,0.00,0.00,299,270
FY 2011-12,129,SOMERS (129),24321729.00,188388.00,1712116.00,12841.00,20688213.00,20673213.00,155049.00,15000,188,,,,,741400.00,5561.00,1180000.00,14750.00,0.00,0.00,89,92
FY 2011-12,130,SOUTHBURY (130),73285100.00,581041.00,3368148.00,25261.00,63425052.00,62625052.00,469688.00,800000,10000,,,,,1011400.00,7586.00,5480500.00,68506.00,0.00,0.00,313,225
FY 2011-12,131,SOUTHINGTON (131),149476402.00,1244315.00,11066399.00,82998.00,113893385.00,113551568.00,851637.00,341817,4273,,,,,210000.00,1575.00,24306618.00,303833.00,0.00,0.00,520,502
FY 2011-12,132,SOUTH WINDSOR (132),88172369.00,687357.00,13007302.00,97555.00,69928806.00,69928806.00,524349.00,0,0,,,,,0.00,0.00,5236261.00,65453.00,0.00,0.00,314,276
FY 2011-12,133,SPRAGUE (133),2680213.00,22252.00,302500.00,2269.00,1947713.00,1947713.00,14608.00,0,0,,,,,0.00,0.00,430000.00,5375.00,0.00,0.00,19,28
FY 2011-12,134,STAFFORD (134),19858991.00,160310.00,576730.00,4325.00,16982761.00,16982761.00,127371.00,0,0,,,,,26000.00,195.00,2273500.00,28419.00,0.00,0.00,150,197
FY 2011-12,135,STAMFORD (135),715372644.00,5882405.00,15139549.00,113547.00,535669494.00,476958036.00,3577185.00,58711458,733893,,,,,119104500.00,893284.00,44710500.00,558881.00,748601.00,5615.00,1158,884
FY 2011-12,136,STERLING (136),9804199.00,83531.00,2517100.00,18878.00,5287099.00,5287099.00,39653.00,0,0,,,,,0.00,0.00,2000000.00,25000.00,0.00,0.00,49,66
FY 2011-12,137,STONINGTON (137),101501988.00,896819.00,4541875.00,34064.00,79047834.00,69796690.00,523475.00,9251144,115639,,,,,52576.00,394.00,17859703.00,223246.00,0.00,0.00,253,328
FY 2011-12,138,STRATFORD (138),118217879.00,931510.00,924000.00,6930.00,108323788.00,108318788.00,812391.00,5000,63,,,,,0.00,0.00,8970091.00,112126.00,0.00,0.00,571,477
FY 2011-12,139,SUFFIELD (139),47322378.00,362560.00,5519245.00,41394.00,39834756.00,39834756.00,298761.00,0,0,,,,,440000.00,3300.00,1528377.00,19105.00,0.00,0.00,166,159
FY 2011-12,140,THOMASTON (140),12342241.00,103560.00,648600.00,4865.00,9494941.00,9494941.00,71212.00,0,0,,,,,0.00,0.00,2198700.00,27484.00,0.00,0.00,65,95
FY 2011-12,141,THOMPSON (141),17668337.00,137093.00,2243700.00,16828.00,13636034.00,13636034.00,102270.00,0,0,,,,,0.00,0.00,916000.00,11450.00,872603.00,6545.00,112,138
FY 2011-12,142,TOLLAND (142),47038318.00,360405.00,2914571.00,21859.00,42683747.00,42325210.00,317139.00,358536,4482,,,,,215000.00,1613.00,1225000.00,15313.00,0.00,0.00,164,147
FY 2011-12,143,TORRINGTON (143),50382972.00,424445.00,1088460.00,8163.00,38465677.00,38465677.00,288493.00,0,0,,,,,1514370.00,11358.00,9314465.00,116431.00,0.00,0.00,330,407
FY 2011-12,144,TRUMBULL (144),165190970.00,1375306.00,2343500.00,17576.00,136032470.00,134972770.00,1010296.00,1059700,12246,,,,,0.00,0.00,26815000.00,335188.00,0.00,0.00,377,299
FY 2011-12,145,UNION (145),2547500.00,19361.00,405000.00,3038.00,2091500.00,2091500.00,15686.00,0,0,,,,,0.00,0.00,51000.00,638.00,0.00,0.00,12,16
FY 2011-12,146,VERNON (146),53415168.00,420705.00,2152700.00,16145.00,39979955.00,39979955.00,299850.00,0,0,,,,,7099900.00,53249.00,4018150.00,50227.00,164462.00,1233.00,264,265
FY 2011-12,147,VOLUNTOWN (147),4643579.00,38640.00,262000.00,1965.00,3618900.00,3618900.00,27142.00,0,0,,,,,0.00,0.00,762679.00,9533.00,0.00,0.00,23,43
FY 2011-12,148,WALLINGFORD (148),122304856.00,960374.00,2674495.00,20059.00,106936599.00,106936599.00,802024.00,0,0,,,,,4076262.00,30572.00,8617500.00,107719.00,0.00,0.00,497,382
FY 2011-12,149,WARREN (149),10411839.00,88280.00,2682000.00,20115.00,7729839.00,5691544.00,42687.00,2038295,25479,,,,,0.00,0.00,0.00,0.00,0.00,0.00,20,36
FY 2011-12,150,WASHINGTON (150),37851810.00,338009.00,3324000.00,24930.00,31125310.00,23703810.00,177779.00,7421500,92769,,,,,0.00,0.00,3402500.00,42531.00,0.00,0.00,63,74
FY 2011-12,151,WATERBURY (151),106574001.00,891347.00,2710954.00,20332.00,76896277.00,76746277.00,575217.00,150000,1875,,,,,8178833.00,61341.00,18334468.00,229181.00,453469.00,3401.00,957,1169
FY 2011-12,152,WATERFORD (152),80174451.00,713428.00,2791599.00,20937.00,55672677.00,54607677.00,409558.00,1065000,13313,,,,,351200.00,2634.00,21358975.00,266987.00,0.00,0.00,277,271
FY 2011-12,153,WATERTOWN (153),54835544.00,459084.00,7263800.00,54479.00,38008326.00,38008326.00,285062.00,0,0,,,,,0.00,0.00,9563418.00,119543.00,0.00,0.00,238,227
FY 2011-12,154,WESTBROOK (154),36942302.00,295518.00,3951000.00,29633.00,31826552.00,29131592.00,218487.00,2694960,33687,,,,,169650.00,1272.00,995100.00,12439.00,0.00,0.00,165,247
FY 2011-12,155,WEST HARTFORD (155),290560614.00,2336268.00,3873100.00,29048.00,257750635.00,252084563.00,1890634.00,5666073,70826,,,,,2882500.00,21619.00,25746706.00,321834.00,307673.00,2308.00,839,604
